Lab_ID_LBNL,IGSN,Latitude,Longitude,Location,Field_Site,Elevation,Block,Plot,Replicate,Topographic_Position,Depth_Increment,Date_Collected,Microbial Biomass Carbon (µg C per g soil),Microbial Biomass Nitrogen (µg N per g soil)
207,,38.92043812,-106.9488231,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15 cm +,6/9/2017,113.544,
208,,38.92101738,-106.9480872,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,6/9/2017,609.345,
209,,38.92101738,-106.9480872,East_River,Pumphouse_Floodplain,2750,F,F1,1,,5-15 cm,6/9/2017,333.758,
210,,38.92101738,-106.9480872,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15 cm +,6/9/2017,38.140,
211,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,0-5 cm,6/9/2017,,
212,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,5-15 cm,6/9/2017,347.576,
213,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15 cm +,6/9/2017,122.172,
214,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,0-5 cm,6/9/2017,,
215,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,5-15 cm,6/9/2017,301.967,
216,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15 cm +,6/9/2017,157.283,
217,,,,Washington_Gulch,Upper_Montane,2950,A,A1,1,Upslope,0-5 cm,6/9/2017,270.272,
218,,,,Washington_Gulch,Upper_Montane,2950,A,A1,1,Upslope,5-15 cm,6/9/2017,150.583,
219,,,,Washington_Gulch,Upper_Montane,2950,A,A1,1,Upslope,15 cm +,6/9/2017,177.081,
220,,,,Washington_Gulch,Upper_Montane,2950,A,A2,2,Downslope,0-5 cm,6/9/2017,163.065,
221,,,,Washington_Gulch,Upper_Montane,2950,A,A2,2,Downslope,5-15 cm,6/9/2017,35.522,
222,,,,Washington_Gulch,Upper_Montane,2950,A,A2,2,Downslope,15 cm +,6/9/2017,2.061,
223,,,,Washington_Gulch,Upper_Montane,2950,B,B1,1,Upslope,0-5 cm,6/9/2017,271.612,
224,,,,Washington_Gulch,Upper_Montane,2950,B,B1,1,Upslope,5-15 cm,6/9/2017,285.499,
225,,,,Washington_Gulch,Upper_Montane,2950,B,B1,1,Upslope,15 cm +,6/9/2017,106.931,
226,,,,Washington_Gulch,Upper_Montane,2950,B,B2,2,Downslope,0-5 cm,6/9/2017,274.222,
227,,,,Washington_Gulch,Upper_Montane,2950,B,B2,2,Downslope,5-15 cm,6/9/2017,81.821,
228,,,,Washington_Gulch,Upper_Montane,2950,B,B2,2,Downslope,15 cm +,6/9/2017,78.182,
229,,,,Washington_Gulch,Upper_Montane,2950,C,C1,1,Upslope,0-5 cm,6/9/2017,,
230,,,,Washington_Gulch,Upper_Montane,2950,C,C1,1,Upslope,5-15 cm,6/9/2017,297.654,
231,,,,Washington_Gulch,Upper_Montane,2950,C,C1,1,Upslope,15 cm +,6/9/2017,153.919,
232,,,,Washington_Gulch,Upper_Montane,2950,C,C2,2,Downslope,0-5 cm,6/9/2017,260.168,
233,,,,Washington_Gulch,Upper_Montane,2950,C,C2,2,Downslope,5-15 cm,6/9/2017,72.979,
234,,,,Washington_Gulch,Upper_Montane,2950,C,C2,2,Downslope,15 cm +,6/9/2017,8.527,
235,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,0-5 cm,6/9/2017,263.770,
236,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,5-15 cm,6/9/2017,,
237,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,15 cm +,6/9/2017,71.966,
238,,,,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,0-5 cm,6/9/2017,198.291,
239,,,,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,5-15 cm,6/9/2017,,
240,,,,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,15 cm +,6/9/2017,87.201,
241,,38.95572723,-107.0288493,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,0-5 cm,6/9/2017,204.067,
242,,38.95572723,-107.0288493,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,5-15 cm,6/9/2017,54.893,
243,,38.95572723,-107.0288493,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,15 cm +,6/9/2017,154.940,
244,,,,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,0-5 cm,6/9/2017,236.063,
245,,,,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,5-15 cm,6/9/2017,141.330,
246,,,,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,15 cm +,6/9/2017,28.718,
247,,38.95514771,-107,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,0-5 cm,6/9/2017,69.386,
248,,38.95514771,-107,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,5-15 cm,6/9/2017,,
249,,38.95514771,-107,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,15 cm +,6/9/2017,,
250,,,,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,0-5 cm,6/9/2017,343.838,
251,,,,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,5-15 cm,6/9/2017,,
252,,,,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,15 cm +,6/9/2017,64.318,
256,,38.92021441,-106.9486837,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,7/24/2017,49.220,
257,,38.92021441,-106.9486837,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15-May,7/24/2017,163.173,
258,,38.92021441,-106.9486837,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,7/24/2017,191.302,
259,,38.9202656,-106.9486333,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,0-5 cm,7/24/2017,148.226,
260,,38.9202656,-106.9486333,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15-May,7/24/2017,180.921,
261,,38.9202656,-106.9486333,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15 cm +,7/24/2017,176.126,
262,,38.92030497,-106.9484184,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,7/24/2017,201.621,
263,,38.92030497,-106.9484184,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15-May,7/24/2017,151.469,
264,,38.92030497,-106.9484184,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,7/24/2017,149.587,
265,,38.92035176,-106.948345,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,0-5 cm,7/24/2017,120.918,
266,,38.92035176,-106.948345,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15-May,7/24/2017,151.616,
267,,38.92035176,-106.948345,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15 cm +,7/24/2017,183.477,
268,,38.92033763,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,0-5 cm,7/24/2017,232.006,
269,,38.92033763,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15-May,7/24/2017,159.991,
270,,38.92033763,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15 cm +,7/24/2017,138.706,
271,,38.92039429,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,0-5 cm,7/24/2017,141.777,
272,,38.92039429,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15-May,7/24/2017,199.578,
273,,38.92039429,-106.9484864,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15 cm +,7/24/2017,86.050,
274,,38.92039446,-106.9486608,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,0-5 cm,7/24/2017,235.325,
275,,38.92039446,-106.9486608,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15-May,7/24/2017,188.285,
276,,38.92039446,-106.9486608,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15 cm +,7/24/2017,,
277,,38.9204693,-106.9486782,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,0-5 cm,7/24/2017,,
278,,38.9204693,-106.9486782,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15-May,7/24/2017,104.849,
279,,38.9204693,-106.9486782,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15 cm +,7/24/2017,,
280,, 38.92045273,-106.9488019,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,0-5 cm,7/24/2017,310.083,
281,, 38.92045273,-106.9488019,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15-May,7/24/2017,100.083,
282,, 38.92045273,-106.9488019,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15 cm +,7/24/2017,152.818,
283,,38.92047172,-106.9487664,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,0-5 cm,7/24/2017,107.694,
284,,38.92047172,-106.9487664,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15-May,7/24/2017,116.333,
285,,38.92047172,-106.9487664,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15 cm +,7/24/2017,,
286,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,7/24/2017,,
287,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15-May,7/24/2017,,
288,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15 cm +,7/24/2017,,
289,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,0-5 cm,7/24/2017,259.397,
290,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15-May,7/24/2017,,
291,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15 cm +,7/24/2017,,
292,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,0-5 cm,7/24/2017,,
293,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15-May,7/24/2017,69.491,
294,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15 cm +,7/24/2017,331.355,
298,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,0-5 cm,8/1/2017,129.600,
299,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,15-May,8/1/2017,224.807,
300,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,1,Upslope,15 cm +,8/1/2017,125.402,
301,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,2,Downslope,0-5 cm,8/1/2017,23.638,
302,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,2,Downslope,15-May,8/1/2017,70.227,
303,,38.9740448,-107.0367259,Washington_Gulch,Lower_Subalpine,3150,A,A1,2,Downslope,15 cm +,8/1/2017,112.057,
304,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,1,Upslope,0-5 cm,8/1/2017,137.877,
305,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,1,Upslope,15-May,8/1/2017,127.195,
306,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,1,Upslope,15 cm +,8/1/2017,93.390,
307,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,0-5 cm,8/1/2017,128.308,
308,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,15-May,8/1/2017,90.311,
309,,38.97409283,-107.0367513,Washington_Gulch,Lower_Subalpine,3150,A,A2,2,Downslope,15 cm +,8/1/2017,46.696,
310,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,0-5 cm,8/1/2017,122.070,
311,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,15-May,8/1/2017,109.726,
312,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,1,Upslope,15 cm +,8/1/2017,66.865,
313,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,2,Downslope,0-5 cm,8/1/2017,120.008,
314,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,2,Downslope,15-May,8/1/2017,76.755,
315,,38.97438861,-107.0365253,Washington_Gulch,Lower_Subalpine,3150,B,B1,2,Downslope,15 cm +,8/1/2017,59.426,
316,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,1,Upslope,0-5 cm,8/1/2017,168.908,
317,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,1,Upslope,15-May,8/1/2017,140.658,
318,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,1,Upslope,15 cm +,8/1/2017,89.080,
319,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,0-5 cm,8/1/2017,199.881,
320,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,15-May,8/1/2017,178.484,
321,,38.97443553,-107.0365009,Washington_Gulch,Lower_Subalpine,3150,B,B2,2,Downslope,15 cm +,8/1/2017,85.336,
322,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,0-5 cm,8/1/2017,99.876,
323,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,15-May,8/1/2017,98.218,
324,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,1,Upslope,15 cm +,8/1/2017,,
325,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,2,Downslope,0-5 cm,8/1/2017,206.349,
326,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,2,Downslope,15-May,8/1/2017,81.910,
327,,38.95514771,-107.0276516,Washington_Gulch,Lower_Subalpine,3150,C,C1,2,Downslope,15 cm +,8/1/2017,58.005,
328,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,1,Upslope,0-5 cm,8/1/2017,102.428,
329,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,1,Upslope,15-May,8/1/2017,65.172,
330,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,1,Upslope,15 cm +,8/1/2017,113.197,
331,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,0-5 cm,8/1/2017,291.412,
332,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,15-May,8/1/2017,123.123,
333,,38.95514736,-107.0284548,Washington_Gulch,Lower_Subalpine,3150,C,C2,2,Downslope,15 cm +,8/1/2017,47.098,
334,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,1,Upslope,0-5 cm,8/1/2017,146.382,
335,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,1,Upslope,15-May,8/1/2017,48.678,
336,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,1,Upslope,15 cm +,8/1/2017,84.660,
337,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,2,Downslope,0-5 cm,8/1/2017,149.671,
338,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,2,Downslope,15-May,8/1/2017,195.850,
339,,,,Washington_Gulch,Lower_Subalpine,3150,Willow,Willow,2,Downslope,15 cm +,8/1/2017,86.093,
340,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,1,Upslope,0-5 cm,8/1/2017,246.390,
341,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,1,Upslope,15-May,8/1/2017,111.421,
342,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,1,Upslope,15 cm +,8/1/2017,152.927,
343,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,0-5 cm,8/1/2017,148.255,
344,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,15-May,8/1/2017,105.885,
345,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,15 cm +,8/1/2017,138.541,
349,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,9/15/2017,,
350,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15-May,9/15/2017,,
351,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,9/15/2017,,
352,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,0-5 cm,9/15/2017,69.513,
353,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15-May,9/15/2017,27.193,
354,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15 cm +,9/15/2017,143.742,
355,IEWFS0019,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,0-5 cm,9/15/2017,,
356,IEWFS001A,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,15-May,9/15/2017,25.941,
357,IEWFS001B,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,15 cm +,9/15/2017,,
358,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,0-5 cm,9/15/2017,150.487,
359,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15-May,9/15/2017,207.852,
360,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15 cm +,9/15/2017,165.564,
361,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,9/15/2017,,
362,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15-May,9/15/2017,122.909,
363,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,9/15/2017,119.293,
364,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,0-5 cm,9/15/2017,168.151,
365,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15-May,9/15/2017,115.570,
366,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15 cm +,9/15/2017,142.419,
367,IEWFS001C,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,0-5 cm,9/15/2017,247.433,
368,IEWFS001D,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15-May,9/15/2017,173.244,
369,IEWFS001E,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15 cm +,9/15/2017,169.431,
370,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,0-5 cm,9/15/2017,162.062,
371,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15-May,9/15/2017,239.058,
372,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15 cm +,9/15/2017,77.787,
373,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,0-5 cm,9/15/2017,216.402,
374,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15-May,9/15/2017,186.564,
375,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15 cm +,9/15/2017,77.710,
376,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,0-5 cm,9/15/2017,187.791,
377,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15-May,9/15/2017,136.010,
378,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15 cm +,9/15/2017,132.214,
379,IEWFS001F,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,0-5 cm,9/15/2017,198.581,
380,IEWFS001G,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15-May,9/15/2017,190.208,
381,IEWFS001H,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15 cm +,9/15/2017,105.444,
382,,38.92043812,-106.9488231,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,0-5 cm,9/15/2017,255.133,
383,,38.92043812,-106.9488231,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15-May,9/15/2017,70.611,
384,,38.92043812,-106.9488231,East_River,Pumphouse_Floodplain,2765,C,C2,2,Downslope,15 cm +,9/15/2017,71.920,
385,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,9/15/2017,353.491,
386,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15-May,9/15/2017,291.679,
387,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15 cm +,9/15/2017,102.250,
388,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,0-5 cm,9/15/2017,2781.195,
389,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15-May,9/15/2017,330.868,
390,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15 cm +,9/15/2017,620.515,
391,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,0-5 cm,9/15/2017,653.861,
392,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15-May,9/15/2017,586.596,
393,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15 cm +,9/15/2017,183.575,
397,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,10/27/2017,282.789,
398,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15-May,10/27/2017,190.219,
399,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,10/27/2017,170.521,
400,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,0-5 cm,10/27/2017,208.759,
401,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,15-May,10/27/2017,187.001,
402,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,15 cm +,10/27/2017,263.670,
403,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,0-5 cm,10/27/2017,239.071,
404,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,15-May,10/27/2017,142.782,
405,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,15 cm +,10/27/2017,157.713,
406,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,0-5 cm,10/27/2017,351.437,
407,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15-May,10/27/2017,251.412,
408,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15 cm +,10/27/2017,302.227,
409,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,10/27/2017,332.819,
410,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15-May,10/27/2017,292.709,
411,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,10/27/2017,266.730,
412,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,0-5 cm,10/27/2017,295.144,
413,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15-May,10/27/2017,221.411,
414,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15 cm +,10/27/2017,249.155,
415,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,0-5 cm,10/27/2017,267.054,
416,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15-May,10/27/2017,224.560,
417,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15 cm +,10/27/2017,146.159,
418,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,0-5 cm,10/27/2017,354.377,
419,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15-May,10/27/2017,156.862,
420,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15 cm +,10/27/2017,166.056,
421,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,0-5 cm,10/27/2017,322.406,
422,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15-May,10/27/2017,179.192,
423,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15 cm +,10/27/2017,137.320,
424,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,0-5 cm,10/27/2017,367.726,
425,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15-May,10/27/2017,217.400,
426,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15 cm +,10/27/2017,160.679,
427,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,0-5 cm,10/27/2017,317.374,
428,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15-May,10/27/2017,496.068,
429,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15 cm +,10/27/2017,272.967,
430,,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,0-5 cm,10/27/2017,359.056,
431,,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15-May,10/27/2017,190.331,
432,,38.92048757,-106.9487855,East_River,Pumphouse_Floodplain,2765,C,C2,2,Downslope,15 cm +,10/27/2017,121.778,
433,,38.92102414,-106.9480933,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,10/27/2017,995.680,
434,,38.92102414,-106.9480933,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15-May,10/27/2017,441.063,
