Site,date,top (cm),bottom (cm),T (C) ,densityA (g/m3),densityB (g/m3),density C (g/m3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dExcess B (permil)
GTH,3/25/2020,57,47,-0.3,0.317,0.296,,-156.91,-100.85,-21.56,-12.81,15.56,1.64
GTH,3/25/2020,47,37,-0.3,0.291,0.297,,-138.97,-120.91,-19.32,-15.44,15.57,2.60
GTH,3/25/2020,37,27,-0.2,0.3,0.305,,-132.04,-125.71,-18.24,-16.09,13.85,3.02
GTH,3/25/2020,27,17,-0.1,0.31,0.309,,-139.22,-115.33,-19.29,-14.69,15.08,2.18
GTH,3/25/2020,17,7,-0.1,0.325,0.322,,-164.25,-164.33,-22.41,-22.35,15.04,14.50
GTH,3/25/2020,7,0,-0.1,,,,,,,,,
GTH,4/8/2020,92,82,0,0.343,0.351,,-135.51,-135.04,-18.14,-18.11,9.58,9.82
GTH,4/8/2020,82,72,0,0.378,0.391,,-131.21,-131.50,-17.66,-17.68,10.04,9.95
GTH,4/8/2020,72,62,-0.2,0.421,0.383,,-147.51,-150.38,-19.65,-19.99,9.69,9.55
GTH,4/8/2020,62,52,-0.1,0.345,0.337,,-166.97,-165.81,-22.36,-22.12,11.93,11.13
GTH,4/8/2020,52,42,-0.1,0.309,0.303,,-121.95,-157.54,-16.45,-21.58,9.61,15.06
GTH,4/8/2020,42,32,-0.1,0.295,0.296,,-136.21,-137.04,-18.96,-19.00,15.48,14.97
GTH,4/8/2020,32,22,-0.1,0.323,0.305,,-133.48,-132.99,-18.51,-18.45,14.59,14.64
GTH,4/8/2020,22,12,-0.1,0.31,0.302,,-142.90,-145.06,-19.79,-20.07,15.45,15.53
GTH,4/8/2020,12,2,-0.1,0.316,0.328,,-163.98,-165.28,-21.97,-22.25,11.81,12.73
GTH,4/8/2020,2,0,-0.1,,,,,,,,,
GTH,4/22/2020,79,69,0.2,0.408,0.395,,-125.04,-123.17,-16.85,-16.57,9.73,9.39
GTH,4/22/2020,69,59,0.1,0.475,0.48,,-135.10,-135.50,-17.94,-18.04,8.44,8.81
GTH,4/22/2020,59,49,0,0.388,0.41,,-154.12,-152.91,-20.54,-20.41,10.16,10.36
GTH,4/22/2020,49,39,0,0.378,0.373,,-154.44,-154.51,-21.15,-21.16,14.76,14.75
GTH,4/22/2020,39,29,0,0.33,0.336,,-137.45,-137.82,-19.00,-19.05,14.57,14.61
GTH,4/22/2020,29,19,-0.1,0.357,0.333,,-134.60,-134.05,-18.62,-18.56,14.38,14.43
GTH,4/22/2020,19,9,-0.1,0.344,0.335,,-145.51,-147.44,-20.05,-20.31,14.91,15.05
GTH,4/22/2020,9,0,-0.1,,,,,,,,,
GTH,5/6/2020,10,0,0.2,0.368,0.433,0.38,-135.86,-135.78,-18.27,-18.27,10.27,10.38
LMWL,3/25/2020,130,120,-0.7,0.223,0.247,,-150.22,-149.36,-20.39,-20.45,12.93,14.24
LMWL,3/25/2020,120,110,-0.7,0.186,0.207,,-203.05,-192.85,-26.68,-25.40,10.36,10.35
LMWL,3/25/2020,110,100,-0.7,0.315,0.31,,-124.29,-122.28,-16.78,-16.66,9.97,11.00
LMWL,3/25/2020,100,90,-0.8,0.285,0.296,,-131.23,-130.17,-17.93,-17.87,12.19,12.79
LMWL,3/25/2020,90,80,-1.1,0.302,0.308,,-143.11,-142.12,-19.34,-19.35,11.63,12.68
LMWL,3/25/2020,80,70,-1,0.328,0.324,,-152.20,-156.41,-20.48,-21.11,11.64,12.47
LMWL,3/25/2020,70,60,-0.8,0.312,0.318,,-169.44,-168.86,-22.71,-22.82,12.27,13.70
LMWL,3/25/2020,60,50,-0.7,0.32,0.311,,-162.82,-156.83,-22.39,-21.78,16.33,17.41
LMWL,3/25/2020,50,40,-1.1,0.291,0.296,,-139.95,-136.92,-19.50,-19.15,16.04,16.28
LMWL,3/25/2020,40,30,-0.4,0.302,0.344,,-127.42,-125.81,-17.65,-17.53,13.81,14.43
LMWL,3/25/2020,30,20,-0.3,0.306,0.312,,-141.69,-138.32,-19.55,-19.28,14.73,15.92
LMWL,3/25/2020,20,10,-0.3,0.328,0.314,,,,,,,
LMWL,3/25/2020,10,0,-0.2,0.328,0.314,,,,,,,
LMWL,4/1/2020,118,108,-0.1,0.271,0.283,,-151.46,-150.09,-20.33,-20.21,11.14,11.59
LMWL,4/1/2020,108,98,-0.1,0.311,0.284,,-161.07,-151.96,-21.31,-20.16,9.37,9.35
LMWL,4/1/2020,98,88,-0.6,0.322,0.334,,-123.87,-123.77,-16.92,-17.01,11.47,12.35
LMWL,4/1/2020,88,78,-1.8,0.343,0.326,,-141.37,-141.84,-19.15,-19.19,11.81,11.68
LMWL,4/1/2020,78,68,-1.6,0.333,0.348,,-151.70,-154.93,-20.51,-20.86,12.36,11.98
LMWL,4/1/2020,68,58,-1.3,0.343,0.352,,-170.35,-169.25,-22.89,-22.85,12.75,13.51
LMWL,4/1/2020,58,48,-1.2,0.304,0.308,,-158.31,-156.06,-21.81,-21.54,16.19,16.28
LMWL,4/1/2020,48,38,-0.8,0.297,0.285,,-137.53,-134.10,-19.15,-18.65,15.64,15.09
LMWL,4/1/2020,38,28,-0.7,0.3,0.304,,-134.74,-134.32,-18.67,-18.61,14.59,14.53
LMWL,4/1/2020,28,18,-0.5,0.307,0.336,,-156.87,-154.36,-21.54,-21.07,15.49,14.22
LMWL,4/1/2020,18,8,-0.3,0.283,0.285,,-161.33,-159.93,-21.60,-21.39,11.50,11.22
LMWL,4/1/2020,8,0,-0.2,,,,,,,,,
LMWL,4/7/2020,119,109,0,0.384,0.394,,-166.65,-166.63,-22.17,-22.06,10.68,9.83
LMWL,4/7/2020,109,99,0,0.331,0.342,,-123.91,-124.78,-17.11,-17.09,12.93,11.97
LMWL,4/7/2020,99,89,-0.1,0.349,0.348,,-132.72,-132.41,-18.22,-18.12,13.07,12.59
LMWL,4/7/2020,89,79,-0.1,0.358,0.355,,-141.72,-142.21,-19.46,-19.44,13.94,13.34
LMWL,4/7/2020,79,69,-0.1,0.377,0.36,,-159.74,-159.11,-21.69,-21.52,13.74,13.07
LMWL,4/7/2020,69,59,-0.1,0.353,0.343,,-170.18,-169.96,-23.19,-23.08,15.33,14.71
LMWL,4/7/2020,59,49,-0.1,0.32,0.32,,-158.19,-159.32,-22.02,-22.12,18.00,17.64
LMWL,4/7/2020,49,39,-0.1,0.313,0.294,,-136.00,-134.19,-19.13,-18.82,17.02,16.34
LMWL,4/7/2020,39,29,-0.1,0.324,0.313,,-127.71,-129.21,-17.88,-17.81,15.29,13.23
LMWL,4/7/2020,29,19,-0.1,0.327,0.292,,-140.97,-145.65,-19.66,-20.18,16.29,15.80
LMWL,4/7/2020,19,9,-0.1,0.283,0.302,,-156.87,-161.92,-21.27,-22.03,13.26,14.33
LMWL,4/7/2020,9,0,-0.1,,,,,,,,,
LMWL,4/15/2020,109,99,-0.7,0.275,0.287,,-153.31,-153.67,-20.16,-20.15,7.98,7.52
LMWL,4/15/2020,99,89,-2.2,0.357,0.382,,-133.20,-140.03,-18.04,-18.72,11.11,9.73
LMWL,4/15/2020,89,79,-2.8,0.382,0.358,,-133.89,-134.74,-18.27,-18.36,12.27,12.18
LMWL,4/15/2020,79,69,-2.2,0.344,0.344,,-144.13,-142.94,-19.66,-19.49,13.18,13.00
LMWL,4/15/2020,69,59,-1,0.335,0.346,,-160.11,-160.58,-21.60,-21.68,12.72,12.84
LMWL,4/15/2020,59,49,-0.3,0.336,0.338,,-165.87,-165.55,-22.64,-22.59,15.25,15.20
LMWL,4/15/2020,49,39,-0.1,0.302,0.293,,-150.15,-147.68,-20.89,-20.54,16.94,16.68
LMWL,4/15/2020,39,29,-0.1,0.285,0.289,,-131.69,-132.64,-18.41,-18.56,15.59,15.81
LMWL,4/15/2020,29,19,-0.1,0.302,0.292,,-140.63,-138.68,-19.46,-19.28,15.02,15.58
LMWL,4/15/2020,19,9,-0.1,0.296,0.293,,-154.83,-154.16,-21.12,-21.07,14.13,14.39
LMWL,4/15/2020,9,0,-0.1,,,,,,,,,
LMWL,4/22/2020,107,97,0.1,0.376,0.376,,-128.26,-127.81,-17.01,-16.96,7.78,7.88
LMWL,4/22/2020,97,87,0,0.43,0.418,,-132.49,-133.12,-17.68,-17.65,8.95,8.04
LMWL,4/22/2020,87,77,-0.1,0.395,0.418,,-140.62,-138.96,-18.90,-18.60,10.61,9.88
LMWL,4/22/2020,77,67,-0.1,0.416,0.42,,-156.45,-155.06,-20.90,-20.69,10.71,10.45
LMWL,4/22/2020,67,57,-0.1,0.378,0.381,,-165.95,-166.15,-22.46,-22.49,13.71,13.73
LMWL,4/22/2020,57,47,-0.1,0.354,0.384,,-152.61,-155.23,-21.04,-21.39,15.69,15.93
LMWL,4/22/2020,47,37,-0.1,0.323,0.32,,-131.16,-130.93,-18.17,-18.14,14.18,14.20
LMWL,4/22/2020,37,27,-0.1,0.368,0.363,,-130.88,,-18.03,,13.36,0.00
LMWL,4/22/2020,27,17,-0.1,0.344,0.324,,-150.40,-148.29,-20.64,-20.29,14.71,14.01
LMWL,4/22/2020,17,7,-0.1,0.389,0.394,,-160.97,-161.71,-21.53,-21.82,11.26,12.83
LMWL,4/22/2020,7,0,-0.1,,,,,,,,,
LMWL,4/29/2020,82,72,0,0.428,0.438,,-128.81,-128.56,-17.07,-17.06,7.75,7.89
LMWL,4/29/2020,72,62,0,0.429,0.421,,-146.16,-143.73,-19.42,-19.10,9.16,9.06
LMWL,4/29/2020,62,52,0,0.378,0.38,,-163.77,-163.09,-22.05,-21.84,12.61,11.61
LMWL,4/29/2020,52,42,0,0.339,0.364,,-154.87,-154.91,-21.45,-21.18,16.76,14.50
LMWL,4/29/2020,42,32,-0.1,0.313,0.312,,-135.48,-137.33,-18.92,-18.97,15.85,14.44
LMWL,4/29/2020,32,22,0,0.319,0.32,,-134.33,-134.84,-18.75,-18.58,15.67,13.80
LMWL,4/29/2020,22,12,0,0.335,0.347,,-148.91,-149.75,-20.60,-20.40,15.87,13.47
LMWL,4/29/2020,12,2,0,0.341,0.344,,-155.18,-161.78,-20.87,-21.81,11.75,12.67
LMWL,4/29/2020,2,0,-0.1,,,,,,,,,
LMWL,5/6/2020,43,33,0,0.385,0.376,,-136.52,-136.58,-18.76,-18.74,13.57,13.31
LMWL,5/6/2020,33,23,0,0.37,0.365,,-131.77,-133.88,-18.15,-18.37,13.44,13.05
LMWL,5/6/2020,23,13,0,0.357,0.369,,-140.47,-142.66,-19.25,-19.48,13.52,13.17
LMWL,5/6/2020,13,3,-0.1,0.38,0.394,,-152.74,-152.58,-20.71,-20.72,12.97,13.17
LMWL,5/6/2020,3,0,-0.1,,,,,,,,,
