ï»¿Site,date,top (cm),bottom (cm),T (C) ,density A (g/cm3),density B (g/cm3),density C (g/cm3),dH A (permil),dH B (permil),dO A (permil),dO B (permil),dexcess A (permil),dexcess B (permil)
LSASP,4/8/19,125,115,0,0.373,0.428,,-127.40,-113.95,-17.67,-16.38,13.98,17.06
LSASP,4/8/19,115,105,0,0.411,0.414,,-140.52,-135.03,-19.22,-18.75,13.28,14.97
LSASP,4/8/19,105,95,0,0.443,0.368,,-165.64,-173.57,-22.12,-23.25,11.34,12.42
LSASP,4/8/19,95,85,0,0.379,0.453,,-147.14,-154.40,-20.30,-21.11,15.25,14.47
LSASP,4/8/19,85,75,0,0.413,0.437,,-151.03,-160.66,-20.38,-21.66,12.03,12.59
LSASP,4/8/19,75,65,0,0.412,0.404,,-147.56,-168.25,-19.86,-22.43,11.28,11.18
LSASP,4/8/19,65,55,0,0.428,0.406,,-193.47,-186.84,-25.74,-24.92,12.47,12.50
LSASP,4/8/19,55,45,0,0.383,0.394,,-157.52,-194.66,-21.40,-26.04,13.71,13.67
LSASP,4/8/19,45,35,0,0.361,0.36,,-158.50,-169.30,-21.64,-22.84,14.61,13.44
LSASP,4/8/19,35,25,0,0.357,0.349,,-157.53,-156.33,21.28,-21.27,-327.77,13.80
LSASP,4/8/19,25,15,0,0.342,0.339,,-153.57,-155.92,-20.83,-21.37,13.05,15.04
LSASP,4/8/19,15,5,0,0.363,0.376,,-141.69,-142.37,-19.09,-19.48,11.02,13.43
LSASP,4/8/19,5,0,0,0.363,0.376,,,,,,,
UMSP,4/8/19,141,131,,0.458,0.4,,-103.69,-111.92,-14.23,-15.09,10.15,8.80
UMSP,4/8/19,131,121,,0.454,0.441,,-105.20,-150.58,-14.37,-19.90,9.76,8.62
UMSP,4/8/19,121,111,,0.418,0.405,,-143.82,-147.75,-19.19,-19.65,9.70,9.45
UMSP,4/8/19,111,101,,0.445,0.445,,-131.39,-178.79,-17.89,-23.35,11.73,8.01
UMSP,4/8/19,101,91,,0.463,0.41,,-151.53,,-20.33,,11.11,
UMSP,4/8/19,91,81,,0.41,0.453,,-163.91,-164.69,-21.93,-21.93,11.53,10.75
UMSP,4/8/19,81,71,,0.435,0.42,,-147.83,-145.14,-19.87,-19.53,11.13,11.10
UMSP,4/8/19,71,61,,0.388,0.417,,-160.09,-162.20,-21.23,-21.35,9.75,8.60
UMSP,4/8/19,61,51,,0.401,0.375,,-173.24,-173.87,-22.90,-22.81,9.96,8.61
UMSP,4/8/19,51,41,,0.396,0.426,,-191.55,-194.92,-25.46,-25.71,12.13,10.76
UMSP,4/8/19,41,31,,0.362,0.384,,-173.92,-188.71,-23.28,-24.99,12.32,11.21
UMSP,4/8/19,31,21,,0.352,0.296,,-147.56,-158.38,-19.92,-21.11,11.80,10.50
UMSP,4/8/19,21,11,,0.303,0.308,,-135.60,-144.66,-18.27,-19.34,10.56,10.06
UMSP,4/8/19,11,1,,0.329,0.325,,-128.04,-128.67,-17.14,-17.26,9.08,9.41
UMSP,4/8/19,1,0,,0.329,0.325,,,,,,,
PLM6SP,4/8/19,121,111,1.5,0.441,0.413,,-98.55,-106.37,-12.26,-14.54,-0.45,9.99
PLM6SP,4/8/19,111,101,0.5,0.411,0.406,,-113.15,-135.56,-14.72,-18.25,4.64,10.47
PLM6SP,4/8/19,101,91,0.5,0.389,0.411,,-151.87,-136.04,-20.16,-18.49,9.40,11.86
PLM6SP,4/8/19,91,81,1,0.428,0.418,,-137.52,-140.97,-18.45,-19.03,10.09,11.28
PLM6SP,4/8/19,81,71,0.2,0.402,0.371,,-178.85,-178.02,-23.42,-23.33,8.51,8.59
PLM6SP,4/8/19,71,61,0.5,0.392,0.422,,-156.45,-155.48,-20.93,-20.81,10.98,10.97
PLM6SP,4/8/19,61,51,0.8,0.376,0.38,,-165.77,-175.11,-22.00,-23.08,10.25,9.53
PLM6SP,4/8/19,51,41,0.5,0.36,0.356,,-190.69,-195.54,-25.05,-25.79,9.67,10.75
PLM6SP,4/8/19,41,31,0.5,0.362,0.343,,-168.96,-167.31,-22.60,-22.34,11.82,11.44
PLM6SP,4/8/19,31,21,0.2,0.319,0.267,,-147.27,-147.73,-19.80,-19.86,11.14,11.11
PLM6SP,4/8/19,21,11,0.5,0.375,0.347,,-135.54,-134.38,-18.08,-17.94,9.12,9.11
PLM6SP,4/8/19,11,1,0.8,0.277,0.306,,-122.77,-124.54,-16.10,-16.43,6.07,6.88
PLM6SP,4/8/19,1,0,0.5,0.277,0.306,,,,,,,
PLM1SP,4/6/19,140,130,0.5,0.452,0.485,,,,-91.68,-12.66,,
PLM1SP,4/6/19,130,120,1,0.438,0.445,,,,-110.42,-15.11,,
PLM1SP,4/6/19,120,110,0.5,0.43,0.437,,,,-151.12,-20.12,,
PLM1SP,4/6/19,110,100,0.5,0.388,0.394,,,,-141.90,-19.13,,
PLM1SP,4/6/19,100,90,0.5,0.38,0.437,,,,-157.70,-20.90,,
PLM1SP,4/6/19,90,80,0.5,0.425,0.426,,,,-168.11,-22.37,,
PLM1SP,4/6/19,80,70,0.2,0.441,0.421,,,,-157.03,-20.88,,
PLM1SP,4/6/19,70,60,0.2,0.394,0.399,,,,-164.46,-21.67,,
PLM1SP,4/6/19,60,50,0.5,0.404,0.399,,,,-186.71,-24.60,,
PLM1SP,4/6/19,50,40,0.5,0.373,0.443,,,,-184.53,-24.46,,
PLM1SP,4/6/19,40,30,0,0.389,0.397,,,,-164.36,-22.20,,
PLM1SP,4/6/19,30,20,0,0.374,0.399,,,,-157.35,-21.24,,
PLM1SP,4/6/19,20,10,0,0.355,0.396,,,,-150.66,-20.19,,
PLM1SP,4/6/19,10,0,0,0.382,0.437,,,,-139.72,-18.61,,
BCSP,4/9/19,90,80,0.7,0.421,0.418,,-120.24,-116.05,-16.11,-15.76,8.65,10.04
BCSP,4/9/19,80,70,-0.2,0.434,0.426,,-133.18,-139.76,-17.80,-18.87,9.22,11.21
BCSP,4/9/19,70,60,-0.2,0.484,0.463,,-137.38,-138.16,-18.39,-18.49,9.74,9.77
BCSP,4/9/19,60,50,-0.2,0.427,0.401,,-166.79,-175.16,-21.98,-23.06,9.07,9.31
BCSP,4/9/19,50,40,-0.2,0.358,0.356,,-165.47,-163.67,-21.94,-21.76,10.03,10.42
BCSP,4/9/19,40,30,-0.2,0.337,0.347,,-182.40,-186.28,-24.00,-24.67,9.58,11.10
BCSP,4/9/19,30,20,-0.2,0.317,0.313,,-164.80,-168.82,-22.16,-22.71,12.50,12.84
BCSP,4/9/19,20,10,-0.2,0.271,0.284,,-150.30,-156.87,-20.21,-21.22,11.40,12.88
BCSP,4/9/19,10,0,-0.2,0.304,0.295,,-144.15,-138.81,-19.16,-18.42,9.13,8.54
