16S ID,Percent Relative Abundance,Taxonomy
AB186835.UncB2029,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.06,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
JX177685.PeuAngu7,0.06,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
AF170351.Dh0Speci,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
DQ083114.Unc90915,0.06,Bacteria;Proteobacteria;Deltaproteobacteria;43F-1404R;
Y17601.PpvDicar,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AB074518.AqsSerpe,0.06,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquaspirillum;
AY212674.Unc01fkn,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium;
AB186833.UncB2062,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
GWA2_Polynucleobacter_45_21_curated,0.05,GWA2_Polynucleobacter_45_21_curated
AF050536.UncE6829,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
AF423284.Uncu2554,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
AY493946.UncuS804,0.05,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
AY424823.Unc75570,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera;
AB366174.LmnLitor,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;
Y11560.DrnThiop,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
AB237688.UncB3429,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
RIFCSPHIGHO2_02_FULL_Peregrinibacteria_Peribacteria_51_15_curated,0.05,RIFCSPHIGHO2_02_FULL_PER_ii_51_15_curated
AY728038.HrmArsen,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;
AY123794.NsmSpe22,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
X92130.AknDelam,0.05,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;Alkalimonas;
DQ811792.UncD2684,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;SAR324_clade(Marine_group_B);
AF293007.UncGree9,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
FM179887.UncDe115,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
RIFCSPHIGHO2_02_FULL_Elusimicrobia_61_10_curated,0.05,RIFCSPHIGHO2_02_FULL_Elusimicrobia_61_10_curated
AF286037.IFMClon9,0.05,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;
AY328580.Unc02v37,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AY123794.NsmSpe22,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.05,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AY375053.Unc02ogh,0.05,Bacteria;Acidobacteria;Subgroup_22;
AF280846.Unc41853,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
RIFCSPLOWO2_02_FULL_Nitrospirae_62_14_curated,0.05,RIFCSPLOWO2_02_FULL_Nitrospirae_62_14_curated
GWB1_OD1_35_20,0.05,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
RBG_16_Gemmatimonadetes_66_8_curated,0.05,RBG_16_Gemmatimonadetes_66_8_curated
AB006750.UncuBeta,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;
CP002013.BurSp970,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AY349388.NssSpe47,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;
AY493935.UncuS770,0.05,Bacteria;Acidobacteria;Holophagae;Subgroup_7;
AY238977.UncuB594,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;
JQ994266.DhgAlken,0.05,Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalogenimonas;
AF234684.UncSlu41,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea;
AM404380.UncD1444,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AJ238359.HerFris3,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
AB176695.UncuBe38,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
AY212697.Unc02pix,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.05,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
AM404380.UncD1444,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
DQ386264.Sx4Litho,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans;
DQ521800.Unc00493,0.05,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;
AF280846.Unc41853,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
AY218566.Unc02pok,0.05,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;
GWB1_OD1_35_20,0.05,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
GWB1_OD1_35_20,0.05,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AB842427.SfsSedim,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AY328779.Unc01i7n,0.04,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
GWB1_OD1_35_20,0.04,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AB013269.UncBact9,0.04,Bacteria;Acidobacteria;Holophagae;Subgroup_23;
AJ318113.Uncu2732,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;
AY532574.Unc77339,0.04,Bacteria;Proteobacteria;Gammaproteobacteria;1013-28-CG33;
AY326619.Uncu2589,0.04,Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella;
AF282178.Unc40913,0.04,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;
AY027498.F0MBact4,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;
RifOxyB12_full_Omnitrophica_50_7_curated,0.04,RifOxyB12_full_OP3_50_7_curated
X92555.PcmLemoi,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Paucimonas;
AY493945.Uncu3224,0.04,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
AF245349.Unc01gei,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;
AY532539.Unc79167,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Ferritrophicum;
RBG_16_Acidobacteria_70_10_curated,0.04,RBG_16_Acidobacteria_70_10_curated
AB166770.UncB1445,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;
AF204250.UncuB426,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.04,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
Y17601.PpvDicar,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AM997495.UncD1494,0.04,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;H2-104-2;
AF245350.Unc40559,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
Z95732.UncA6503,0.04,Bacteria;Acidobacteria;Acidobacteria;Subgroup_6;
AF502232.Unc00y5k,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;
HQ698842.AemMetal,0.04,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
AB240495.UncB3722,0.04,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated,0.04,RIFCSPLOWO2_02_FULL_OD1_Kaiserbacteria_51_13_curated
GWA2_Polynucleobacter_45_21_curated,0.04,GWA2_Polynucleobacter_45_21_curated
AB008503.OxaSolur,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
X92554.PcmLemo2,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Paucimonas;
RIFCSPHIGHO2_01_Muproteobacteria_60_12_curated,0.04,"RIFCSPHIGHO2_12_FULL_Gamma2_60_33_curated, Gammaproteobacteria, Proteobacteria, Bacteria"
AF419687.Unc48002,0.04,Bacteria;Bacteroidetes;Bacteroidetes_VC2.1_Bac22;
AY281137.ColPrate,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;
GWC1_OD1_37_10,0.04,"GWC1_OD1_37_10, Wolfebacteria, Parcubacteria, Bacteria organism_desc=ACD18-related"
GWB1_OD1_35_20,0.04,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AB076000.AqsPutri,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquaspirillum;
RIFCSPLOWO2_12_FULL_Deltaproteobacteria_50_11_curated,0.04,"RIFCSPLOWO2_02_FULL_Deltaproteobacteria_50_16_curated, Deltaproteobacteria, Proteobacteria, Bacteria"
AM084030.AzsSpeci,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
AF358001.Unc01sov,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
AB166770.UncB1445,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Candidatus_Accumulibacter;
AY493948.Uncu3055,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
AB176695.UncuBe38,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
EF100696.PigDaegu,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga;
AY221081.Unc01g0z,0.04,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
AB097172.JntSpe27,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
AY128105.BurTro35,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
HM130516.MasTiesh,0.04,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.03,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
DQ188985.HerRhiz2,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
AJ318156.Uncu2734,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;
AB491209.PstSecun,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Sutterella;
AF445694.Uncu2463,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;
RIFCSPLOWO2_12_FULL_Deltaproteobacteria_40_28_curated,0.03,RIFCSPLOWO2_12_FULL_Deltaproteobacteria_40_28_curated
AY491562.Unc76104,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AF026998.UniDelt2,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;Desulfatiglans;
AJ302078.DpsSpec7,0.03,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;
AF445699.Uncu2464,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;
AY277697.CddBurkh,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AB077038.MalSpino,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Malikia;
AJ224988.Unc48965,0.03,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;
AY907797.Unc03cuh,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina;
AF139171.PndNori4,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea;
D14256.DugZoogl,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella;
AY123808.NspSpe35,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
RBG_16_Thaumarchaeota_49_8_curated,0.03,RBG_16_Thaumarchaeota_49_8_curated
AY512825.BurCep17,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AY424824.Unc02tt5,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;
FJ598048.LbtMarit,0.03,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lutibacter;
AF123077.AzoToluc,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;
AY493946.UncuS804,0.03,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
BD356897.RccTenu4,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus;
GWA2_Polynucleobacter_45_21_curated,0.03,GWA2_Polynucleobacter_45_21_curated
AY177794.UncDe514,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.03,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AB021352.BcmRM170,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parapusillimonas;
AB076000.AqsPutri,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquaspirillum;
GWB1_OD1_35_20,0.03,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
RIFCSPHIGHO2_02_FULL_Planctomycetes_50_42_curated,0.03,"RIFCSPLOWO2_02_FULL_Planctomycetes_50_16_curated, Planctomycetes, Bacteria"
AY171616.Dh0Spec5,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
GWB1_OD1_35_20,0.03,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
RIFCSPLOWO2_02_FULL_Schekmanbacteria_38_14_curated,0.03,"RIFCSPLOWO2_12_FULL_RIF03_38_15_curated, RIF3, Bacteria"
AY574979.DvbPutea,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
AB512141.HrmSaxo2,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;
AY662003.Unc79187,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AF072927.UncP1435,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
AJ009452.Unc47061,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
AY126452.DecSpe19,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;
AM404380.UncD1444,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AJ310394.ColFungi,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;
RBG_19FT_COMBO_Syntrophobacterales_59_10_curated,0.03,RBG_19FT_COMBO_Syntrophobacterales_59_10_curated
BX640434.BorPara2,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;
CP000090.RalEutro,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
AF386756.NspSpe37,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
AY622239.Uncu2579,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
AF204242.Uncu1507,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
GWB2_Ignavibacteria_35_12_curated,0.03,"RIFOXYC2_FULL_RIF_IGX_35_21_curated, RIF-IGX, Bacteria"
AY387398.PvcLavam,0.03,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Parvibaculum;
GWB1_OD1_35_20,0.03,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
AY221081.Unc01g0z,0.03,Bacteria;Proteobacteria;Betaproteobacteria;TRA3-20;
AB469788.OxaFaeci,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
AB917594.XanBacte,0.03,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Mizugakiibacter;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.03,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AF534427.Uncu1519,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;
FN553984.UncSe224,0.03,Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus;
AY212629.Unc72431,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
RIFCSPLOWO2_12_FULL_Rhodospirillales_67_15_curated,0.03,RIFCSPLOWO2_12_FULL_Rhodospirillales_67_15_curated
GWA2_Polynucleobacter_45_21_curated,0.03,GWA2_Polynucleobacter_45_21_curated
AF287297.NscMobi2,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.03,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
DQ413148.ZooCaeni,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea;
AY532586.Unc01ynz,0.03,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;
AY171616.Dh0Spec5,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
AF525829.Uncu2519,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;
AY845251.SrmWinog,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Spirillum;
GWB2_OD1_40_8_partial,0.03,"Parcubacteria, Bacteria organism_desc=Moderate; in CP radiation"
GWB1_OD1_35_20,0.03,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
HM583567.PoaCryoc,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;
AF420338.UncP1483,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;SEEP-SRB2;
AB121772.ApaPr122,0.03,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter;
AY218680.Unc01g07,0.03,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;
AM404380.UncD1444,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
EF032751.UncD2767,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30;
AF236012.BetPro94,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;
GWB1_OD1_40_14,0.03,"GWB1_OD1_40_14, Parcubacteria, Bacteria"
AY436789.MplSpeci,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;
GWB1_OD1_35_20,0.03,"GWB1_OD1_35_20, Nomurabacteria, Parcubacteria, Bacteria"
GWA2_Polynucleobacter_45_21_curated,0.03,GWA2_Polynucleobacter_45_21_curated
AB234265.UncB3087,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;
AM404380.UncD1444,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;
AB166668.LphSpe27,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;
Z95721.UncA6501,0.03,Bacteria;Acidobacteria;Acidobacteria;Subgroup_6;
AY123801.NspSpe24,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
Y17601.PpvDicar,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AF358019.Unc01nvp,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;
AY188294.Unc71986,0.03,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Dokdonella;
AF236005.BetPro90,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;
AB245340.MxoBacte,0.03,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;mle1-27;
AB469786.OxaHorti,0.03,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
L33694.AzoTolul,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;
AF072926.Unc01e5l,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sulfuritalea;
DQ309326.GeoFerri,0.02,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geoalkalibacter;
AJ318129.Uncu2566,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
DI081119.Unide459,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
AY493938.UncuS771,0.02,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;
GWB2_Chloroflexi_54_36_curated,0.02,GWB2_Chloroflexi_54_36_curated
RBG_19FT_COMBO_Betaproteobacteria_58_11_curated,0.02,"RBG_16_Betaproteobacteria_58_11_curated, Hydrogenophilales, Betaproteobacteria, Proteobacteria, Bacteria"
AY532565.Unc02sp4,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Candidatus_Branchiomonas;
AY692042.UncDe631,0.02,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;
AY212580.Unc72416,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;12up;
RifOxyB12_full_Deltaproteobacteria_58_9_curated,0.02,"RifOxyA12_full_Proteobacteria_58_15_curated, Deltaproteobacteria, Proteobacteria, Bacteria"
AY027801.I1PAmino,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
AY221080.Unc02tii,0.02,Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84;
RIFOXYB12_FULL_Ignavibacteria_35_14_curated,0.02,"RIFOXYD12_FULL_Ignavibacteria_36_8_curated, Ignavibacteriales, Ignavibacteria, Ignavibacteriae, Bacteria"
AF027004.UniAcido,0.02,Bacteria;Acidobacteria;Acidobacteria;Subgroup_3;
AF001645.UncPr321,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
AF139176.PndSputo,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea;
AY061962.OxaFlavu,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium;
AY444991.Unc74238,0.02,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;
AJ318182.UncuB541,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
GX182005.Unide813,0.02,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;
Y19190.GbtSpec3,0.02,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;
