ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL5,CC-5,CC-5,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.858234,-107.095536,Trimble GPS,3001.41,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL3,CC-3,CC-3,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.871900,-107.095071,Trimble GPS,3085.28,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL2,CC-2,CC-2,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.872883,-107.094504,Trimble GPS,3098.47,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL12,CC-12,CC-12,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.869416,-107.007998,Trimble GPS,2766.6,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL11,CC-11,CC-11,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.859758,-107.048801,Trimble GPS,2872.77,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-COL10,CC-10,CC-10,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.856250,-107.056848,Trimble GPS,2899.37,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-BOG3,Bog-03,Bog-03,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.862473,-107.043242,Trimble GPS,2874.53,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-BOG2,Bog-02,Bog-02,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.862433,-107.043604,Trimble GPS,2875.13,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-BOG0,Bog-00,Bog-00,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.863000,-107.044806,Trimble GPS,2880.64,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-BOG4,Bog-04,"Bog-00, CC_BOG4, Bog-04",Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.862500,-107.042800,Trimble GPS,2873.55,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,CC-KYS1,Keystone,Keystone,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,2019-Present,Solute composition of surface water,Data used to quantify quarterly variations in the flux of solutes along the reach length of Coal Creek including its key tributaries,CC,CC,38.867600,-107.024000,Trimble GPS,2827.59,USGS DEM,N/A,Stream sampling location,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Wendy S. Brown,bugsunlimitedllc@gmail.com,The Rocky Mountain Biological Laboratory,Wendy S. Brown,CC-CBS1,Coal Below Splains,CBS,Water Quality Measurements,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present (as of May 2021),Weekly data about 2km upstream of Coal11,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes in Coal Creek.,CC,CC,38.855914,-107.061086,Google Earth,2912.6,USGS DEM,N/A,N/A,Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-SS1,Snodgrass Synoptic site 1,SS1,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.924940,-106.979870,Trimble,3128.7,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-MT1,Snodgrass synoptic meadow tributary 1,MT1,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.924787,-106.979518,Trimble,3119.85,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-SS2,Snodgrass synoptic site 2,SS2,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.924336,-106.979049,Trimble,3111.74,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-MT2,Snodgrass synoptic meadow tributary 2,MT2,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.923997,-106.978384,Trimble,3096.91,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-SS3,Snodgrass synoptic site 3,SS3,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.923997,-106.978384,Trimble,3096.91,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-SS4,Snodgrass synoptic site 4,SS4,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.923494,-106.977957,Trimble,3085.75,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-SS5,Snodgrass synoptic site 5,SS5,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.923114,-106.977687,Trimble,3079.21,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Alexander Newman; Curtis Beutler,SG-FT1,Snodgrass synoptic forest tributary 1,FT1,Water Quality Measurements,SFA Intensive,Biogeochemistry,20210526-ongoing,Subsurface water and carbon inventories and fluxes,Information needed to quantify water flow and transport from the hillslope subsurface to East river channel surface water,SG,ER,38.923065,-106.977144,Trimble,3080.83,LiDAR,N/A,N/A,"DOC/DIC, Cations, anions, water isotope, NH4+, pH, ORP, Conductivity, TDS, Temp",N/A,2.1
Kenneth Williams,khwilliams@lbl.gov,Lawrence Berkeley National Laboratory,Curtis Beutler,SG-SLF1,Snodgrass Lower Flume,Lower Flume,Water Quality Measurements,SFA One-off Sampling,Biogeochemistry,2020,Water Quality,Grab Samples near terminus of Snodgrass Stream Reach,SG,SG,38.916870,-106.973310,Trimble GPS,2926.36,LiDAR,Ground Surface,N/A,"Electrical Conductivity, Total Dissolved Solids, Oxidation/Reduction Potential, pH, Total Dissolved Carbon, Cations, Anions, Ammonium",N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR1       ,"pumphouse 10 Meander, location1",M10-1,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.921345,-106.946305,RMBL GPS,2756.61,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR2,"pumphouse 10 Meander, location2",M10-2,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.921743,-106.947941,RMBL GPS,2756.96,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR3,"pumphouse 10 Meander, location3",M10-3,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.922213,-106.949270,RMBL GPS,2757.45,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR4,"pumphouse 10 Meander, location4",M10-4,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.923097,-106.949477,RMBL GPS,2758.13,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR5,"pumphouse 10 Meander, location5",M10-5,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.922816,-106.950427,RMBL GPS,2759.85,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR6,"pumphouse 10 Meander, location6",M10-6,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.922157,-106.951271,RMBL GPS,2762.12,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR7,"pumphouse 10 Meander, location7",M10-7,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.923302,-106.953858,RMBL GPS,2760.24,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR8,"pumphouse 10 Meander, location9",M10-8,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.924748,-106.952521,RMBL GPS,2760.74,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR9,"pumphouse 10 Meander, location11",M10-9,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.925008,-106.954602,RMBL GPS,2761.49,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR10,"pumphouse 10 Meander, location13",M10-10,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.925675,-106.954797,RMBL GPS,2762.18,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR11,"pumphouse 10 Meander, location14",M10-11,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.926907,-106.955630,RMBL GPS,2764.17,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR12,"pumphouse 10 Meander, location15",M10-12,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.928536,-106.957520,RMBL GPS,2765.88,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-PHR13,"pumphouse 10 Meander, location16",M10-13,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-present,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.930631,-106.959354,RMBL GPS,2768.13,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
Patricia Fox,pmfox@lbl.gov,Lawrence Berkeley National Laboratory,Alex Newman; Curtis Beutler,ER-MTR8,"pumphouse 10 Meander, location8",N/A,Water Quality Measurements,SFA Satellite Site,Biogeochemistry,Nov 2019-Oct 2020,river solute concentrations,River water sampling location in the Pumphouse vicinity used for 10-meander modeling. River water geochemical data is used to understand and predict river corridor behavior including influence of hyporheic exchange of solutes and hotspots.,PH,ER,38.923772,-106.953432,RMBL GPS,2760.42,LiDAR,N/A,N/A,DIC; DOC; Anions; Cations; NH4; pH; ORP; EC,N/A,2.1
